SequenceID: 1

 1	+	34	1524	1491	1
 2	+	2052	3260	1209	1
 3	+	3457	4437	981	1
 4	+	4434	4997	564	1
 5	+	5240	7267	2028	1
 6	+	7302	9818	2517	1
 7	+	9914	10828	915	1
 8	+	10966	11121	156	1
 9	+	11225	11416	192	2
 10	-	11555	11692	138	1
 11	-	11874	12311	438	1
 12	+	12486	13016	531	1
 13	-	13133	13495	363	1
 14	-	13714	13995	282	1
 15	+	14134	14877	744	1
 16	+	14914	15612	699	1
 17	-	15590	17470	1881	1
 18	-	17467	18762	1296	1
 19	-	18759	20234	1476	1
 20	-	20231	21640	1410	1
 21	-	21637	23172	1536	1
 22	-	23270	23737	468	1
 23	-	23861	25444	1584	1
 24	-	25913	26881	969	1
 25	-	27023	27442	420	1
 26	+	27595	28365	771	1
 27	+	28362	29207	846	1
 28	+	29245	29607	363	1
 29	+	29722	31068	1347	1
 30	+	31189	31506	318	1
 31	+	31514	31819	306	1
 32	-	31824	31967	144	1
 33	+	32057	33154	1098	1
 34	+	33227	33553	327	1
 35	+	34295	36610	2316	1
 36	+	36607	36870	264	1
 37	+	36867	37262	396	1
 38	+	37259	38947	1689	1
 39	-	39056	39829	774	1
 40	-	39877	41187	1311	1
 41	+	41307	41912	606	1
 42	-	42004	42351	348	1
 43	-	42433	43365	933	1
 44	+	43562	46471	2910	1
 45	-	46581	47084	504	1
 46	-	47366	48100	735	1
 47	-	48233	49027	795	1
 48	-	49043	49939	897	1
 49	-	50021	51124	1104	1
 50	-	51185	51727	543	1
 51	-	51828	52697	870	1
 52	+	52810	53244	435	1
 53	+	53237	55699	2463	1
 54	+	55696	57378	1683	1
 55	+	57335	57973	639	1
 56	+	58192	58482	291	1
 57	+	58586	59080	495	1
 58	+	59122	59376	255	1
 59	+	59409	59867	459	1
 60	+	59896	60417	522	1
 61	+	60396	63020	2625	1
 62	+	63200	63892	693	1
 63	+	63909	64967	1059	1
 64	-	65012	65239	228	1
 65	-	65400	65687	288	1
 66	+	65681	66694	1014	1
 67	+	66923	68362	1440	1
 68	+	68418	68579	162	1
 69	+	68620	71559	2940	1
 70	+	71589	71828	240	1
 71	+	71821	72222	402	1
 72	-	72274	74511	2238	1
 73	-	74629	75198	570	1
 74	+	75301	76212	912	1
