#
1	+	1	1524	1524	1
2	+	2052	3260	1209	1
3	+	3280	4437	1158	1
4	+	4434	4997	564	1
5	+	5240	7267	2028	1
6	+	7302	9818	2517	1
7	+	9914	10828	915	1
8	-	11874	12311	438	1
9	+	12468	13016	549	1
10	-	13133	13558	426	1
11	-	13714	13995	282	1
12	+	14089	14877	789	1
13	+	14914	15612	699	1
14	-	15590	17470	1881	1
15	-	17467	18762	1296	1
16	-	18759	20234	1476	1
17	-	20231	21640	1410	1
18	-	21637	23181	1545	1
19	-	23270	23737	468	1
20	-	23861	25444	1584	1
21	-	25913	26881	969	1
22	-	27023	27442	420	1
23	+	27595	28365	771	1
24	+	28362	29207	846	1
25	+	29245	29607	363	1
26	+	29722	31068	1347	1
27	+	31189	31506	318	1
28	+	31514	31819	306	1
29	+	32057	33154	1098	1
30	+	33224	33553	330	1
31	+	34295	36610	2316	1
32	+	36607	36870	264	1
33	+	36867	37262	396	1
34	+	37259	38947	1689	1
35	-	39056	39829	774	1
36	-	39877	41202	1326	1
37	+	41304	41912	609	1
38	-	42004	42351	348	1
39	-	42433	43365	933	1
40	+	43562	46471	2910	1
41	-	46581	47207	627	1
42	-	47366	48100	735	1
43	-	48233	49027	795	1
44	-	49043	49939	897	1
45	-	50021	51124	1104	1
46	-	51185	51727	543	1
47	-	51828	52697	870	1
48	+	52831	53244	414	1
49	+	53663	55699	2037	1
50	+	55696	57378	1683	1
51	+	57410	57973	564	1
52	+	58192	58482	291	1
53	+	58586	59080	495	1
54	+	59122	59376	255	1
55	+	59409	59867	459	1
56	+	59896	60417	522	1
57	+	60396	63020	2625	1
58	+	63200	63892	693	1
59	+	63909	64967	1059	1
60	-	65012	65350	339	1
61	+	65552	66694	1143	1
62	+	66923	68362	1440	1
63	+	68418	68579	162	1
64	+	68620	71559	2940	1
65	+	71589	71828	240	1
66	+	71821	72222	402	1
67	-	72274	74511	2238	1
68	-	74629	75198	570	1
69	+	75301	76212	912	1
70	-	76237	77622	1386	1
71	-	77619	78896	1278	1
72	+	79486	80193	708	1
73	+	80624	81673	1050	1
74	+	81676	82668	993	1
75	+	82748	83983	1236	1
76	+	83996	85168	1173	1
77	-	85183	85572	390	1
78	-	85636	86466	831	1
79	+	86528	87133	606	1
80	-	87208	87801	594	1
81	-	87798	88004	207	1
82	+	88204	89025	822	1
83	+	89022	89480	459	1
84	+	89575	89919	345	1
85	+	89924	90403	480	1
86	+	90400	92322	1923	1
87	+	92328	93278	951	1
88	+	93289	93951	663	1
89	+	93951	95417	1467	1
90	+	95414	96892	1479	1
91	+	96927	97601	675	1
92	+	97758	98351	594	1
93	+	98480	99250	771	1
94	+	99684	100451	768	1
95	+	100583	102868	2286	1
96	-	102815	103663	849	1
97	-	103710	104663	954	1
98	-	104805	105215	411	1
99	+	105324	106715	1392	1
100	+	106734	107603	870	1
101	+	107600	108151	552	1
102	+	108156	109778	1623	1
103	+	109783	110019	237	1
104	+	110001	117539	7539	1
105	+	117714	119699	1986	1
106	-	119915	122173	2259	1
107	+	122317	123831	1515	1
108	-	123980	124264	285	1
109	+	124374	125570	1197	1
110	-	125643	130541	4899	1
111	-	130895	131104	210	1
112	+	131382	132872	1491	1
113	+	133020	133769	750	1
114	+	133950	136007	2058	1
115	+	136289	137245	957	1
116	+	137319	137909	591	1
117	+	137941	138513	573	1
118	+	138513	139673	1161	1
119	+	139956	140144	189	1
120	-	140267	141022	756	1
121	+	141200	142144	945	1
122	-	142128	143876	1749	1
123	+	144049	145626	1578	1
124	-	145627	147771	2145	1
125	-	147908	148342	435	1
126	+	148491	148859	369	1
127	+	148856	149224	369	1
128	+	149533	150996	1464	1
129	+	151148	152215	1068	1
130	+	152324	154129	1806	1
131	+	154232	155599	1368	1
132	+	155667	156446	780	1
133	-	156578	157600	1023	1
134	+	157847	158302	456	1
135	-	158315	159658	1344	1
136	-	159700	160782	1083	1
137	+	160869	161474	606	1
138	+	161771	162673	903	1
139	-	162644	163249	606	1
140	+	163366	164691	1326	1
141	-	164712	165260	549	1
142	+	165323	165826	504	1
143	+	165827	166849	1023	1
144	+	166910	167290	381	1
145	-	167271	167681	411	1
146	+	167711	168637	927	1
147	-	168704	170182	1479	1
148	+	170284	171126	843	1
149	+	171215	172168	954	1
150	+	172211	173143	933	1
151	+	173238	174758	1521	1
152	+	174833	175693	861	1
153	+	175700	176668	969	1
154	-	176665	176952	288	1
155	-	177543	179309	1767	1
156	-	179319	180896	1578	1
157	-	181155	181985	831	1
158	-	181987	183198	1212	1
159	+	183622	184722	1101	1
160	+	184723	185055	333	1
161	+	185052	186479	1428	1
162	-	186495	186623	129	1
163	+	186785	187429	645	1
164	-	187433	188839	1407	1
165	-	188931	190439	1509	1
166	+	190607	191956	1350	1
167	-	191984	193135	1152	1
168	+	193117	193572	456	1
169	+	193626	194111	486	1
170	-	194144	194815	672	1
171	+	194993	196657	1665	1
172	+	196861	197658	798	1
173	+	197660	198529	870	1
174	+	198534	199898	1365	1
175	+	199895	200935	1041	1
176	+	200932	202479	1548	1
177	+	202476	204068	1593	1
178	+	204065	205237	1173	1
179	+	205231	206778	1548	1
180	+	206814	207455	642	1
181	+	207452	208420	969	1
182	+	208417	208971	555	1
183	+	208938	209672	735	1
184	-	209703	210812	1110	1
185	-	210892	212250	1359	1
186	-	212277	213011	735	1
187	-	213028	214140	1113	1
188	+	214088	214927	840	1
189	+	214969	215718	750	1
190	+	215715	216224	510	1
191	+	216269	218344	2076	1
192	-	218390	218551	162	1
193	+	218705	219367	663	1
194	+	219486	219917	432	1
195	-	219996	221723	1728	1
196	+	221871	222161	291	1
197	+	222289	223530	1242	1
198	+	223564	224664	1101	1
199	-	224724	226571	1848	1
200	+	226878	230462	3585	1
201	+	230899	231534	636	1
202	+	231647	232231	585	1
203	+	232231	234519	2289	1
204	-	234516	236507	1992	1
205	+	236550	237209	660	1
206	+	237206	237895	690	1
207	-	237892	238395	504	1
208	-	238392	241292	2901	1
209	+	241514	241924	411	1
210	-	241976	243214	1239	1
211	+	243384	244487	1104	1
212	-	244484	247318	2835	1
213	-	247384	248112	729	1
214	-	248115	248906	792	1
215	+	249038	250123	1086	1
216	+	250120	251598	1479	1
217	+	251782	253602	1821	1
218	-	253669	254640	972	1
219	-	254637	255950	1314	1
220	+	256064	257677	1614	1
221	+	258913	259926	1014	1
222	-	259923	260831	909	1
223	+	260924	262252	1329	1
224	+	262254	262802	549	1
225	+	262812	264023	1212	1
226	+	264067	265476	1410	1
227	+	265507	266295	789	1
228	-	266301	267764	1464	1
229	-	267863	268627	765	1
230	+	268663	269817	1155	1
231	-	269834	271564	1731	1
232	-	271574	272839	1266	1
233	+	273055	274278	1224	1
234	-	274306	274719	414	1
235	-	274983	275963	981	1
236	+	276058	277764	1707	1
237	+	277899	278588	690	1
238	+	278585	279529	945	1
239	-	279605	281140	1536	1
240	-	281166	282614	1449	1
241	-	282649	286851	4203	1
242	-	286898	287071	174	1
243	+	287186	288352	1167	1
244	+	288428	289042	615	1
245	+	289104	289337	234	1
246	+	289345	289782	438	1
247	-	289812	290654	843	1
248	-	290665	292029	1365	1
249	+	292171	293493	1323	1
250	-	293798	295633	1836	1
251	+	296005	296493	489	1
252	+	296809	298119	1311	1
253	-	298116	298862	747	1
254	-	298863	300803	1941	1
255	-	300834	301655	822	1
256	-	301735	302028	294	1
257	-	302173	302652	480	1
