GeneMark.hmm PROKARYOTIC (Version 3.4.4)
Date: Sun Jan 24 19:45:30 2016
Sequence file name: /storage2/gena/GMS2/new/benchmark/Halobacterium_salinarum_R1_uid61571/GMS2_auto/../NC_010364.fna
Model file name: itr_9.mod
RBS: false
Model information: GeneMarkS_gcode_11

FASTA definition line: gi|169235049|ref|NC_010364.1| Halobacterium salinarum R1, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
 1	+	248	1453	1206	1
 2	+	1450	2115	666	1
 3	+	2112	3254	1143	1
 4	+	3322	5643	2322	1
 5	-	5646	7451	1806	1
 6	-	7454	8641	1188	1
 7	-	8655	9863	1209	1
 8	+	9980	11413	1434	1
 9	-	11478	12734	1257	1
 10	-	13462	13812	351	1
 11	-	13809	14201	393	1
 12	+	14484	14780	297	2
 13	+	14871	15131	261	1
 14	+	15310	15408	99	2
 15	-	15419	16051	633	2
 16	+	16342	17706	1365	2
 17	+	18357	18902	546	2
 18	+	18895	19530	636	2
 19	-	19703	20140	438	2
 20	-	20219	20482	264	2
 21	-	20533	21789	1257	1
 22	-	22103	22300	198	1
 23	+	23336	23890	555	2
 24	+	26648	29008	2361	2
 25	+	29046	29429	384	2
 26	-	29476	29913	438	2
 27	-	29913	30197	285	1
 28	-	30356	31144	789	1
 29	-	31241	31570	330	1
 30	+	31841	32089	249	2
 31	+	32104	32358	255	2
 32	-	32558	32893	336	2
 33	-	32896	33225	330	2
 34	-	33185	33589	405	1
 35	-	33613	33918	306	1
 36	-	34654	35934	1281	1
 37	+	36157	36936	780	2
 38	+	37369	37728	360	1
 39	+	37730	38986	1257	1
 40	+	39215	40447	1233	1
 41	-	40626	41918	1293	1
 42	+	42006	42734	729	1
 43	+	42895	43674	780	2
 44	+	43722	45164	1443	2
 45	-	45260	45985	726	2
 46	-	46870	48036	1167	1
 47	-	48214	49518	1305	2
 48	+	49605	50237	633	2
 49	-	50367	50987	621	2
 50	+	51018	51266	249	2
 51	-	51579	53036	1458	1
 52	+	53584	54069	486	2
 53	+	54207	55382	1176	2
 54	-	55711	56760	1050	2
 55	-	56808	58112	1305	1
 56	-	58214	58648	435	2
 57	-	58675	59748	1074	2
 58	+	59842	61197	1356	2
 59	-	61624	62712	1089	1
 60	-	62715	63701	987	1
 61	+	63942	64658	717	2
 62	-	64714	64908	195	2
 63	+	64896	65825	930	1
 64	+	65925	66221	297	1
 65	+	66218	66487	270	1
 66	+	66707	66847	141	2
 67	+	67069	67266	198	2
 68	+	67256	67549	294	1
 69	-	68072	68506	435	1
 70	-	68503	68793	291	1
 71	+	68923	69219	297	1
 72	+	69341	69529	189	1
 73	+	69568	69795	228	2
 74	+	70655	71764	1110	1
 75	+	71836	72291	456	1
 76	+	72332	72763	432	1
 77	+	72928	73719	792	1
 78	-	73723	74559	837	1
 79	+	74684	75757	1074	1
 80	-	75767	77662	1896	1
 81	-	77659	78882	1224	1
 82	-	78938	79675	738	1
 83	-	79698	80612	915	1
 84	-	80677	81342	666	1
 85	-	81402	82343	942	1
 86	+	82467	83474	1008	1
 87	+	83555	83941	387	1
 88	-	83947	84804	858	1
 89	-	84900	85409	510	1
 90	-	85632	85826	195	1
 91	-	85942	86598	657	1
 92	-	86655	87599	945	1
 93	-	87749	88207	459	1
 94	+	88683	89339	657	1
 95	+	89392	90696	1305	1
 96	+	90807	91595	789	1
 97	+	91588	93015	1428	2
 98	+	93094	96069	2976	1
 99	+	96062	96787	726	1
 100	+	98036	98404	369	1
 101	+	98469	99146	678	1
 102	+	99251	100033	783	1
 103	+	100104	100364	261	2
 104	-	100522	101346	825	2
 105	+	101365	101649	285	2
 106	-	101665	101940	276	1
 107	-	101940	102323	384	2
 108	-	102494	102652	159	1
 109	-	102652	102777	126	1
 110	+	103145	103636	492	1
 111	+	103704	105632	1929	1
 112	+	105679	106422	744	1
 113	-	106434	106820	387	1
 114	-	106864	107193	330	1
 115	+	107292	108059	768	1
 116	+	108298	109194	897	1
 117	+	109199	109462	264	1
 118	-	109465	110079	615	1
 119	+	110400	111824	1425	1
 120	+	111878	112330	453	1
 121	+	112327	113343	1017	1
 122	-	113322	114680	1359	1
 123	+	115233	115445	213	2
 124	+	115436	115780	345	1
 125	+	116617	116724	108	1
 126	-	116944	117348	405	1
 127	-	117498	117605	108	1
 128	-	117819	118061	243	2
 129	-	118092	118433	342	1
 130	+	118777	119214	438	1
 131	+	119680	119916	237	1
 132	-	119921	120349	429	1
 133	-	120416	120619	204	1
 134	+	120764	123037	2274	1
 135	-	123052	123723	672	1
 136	-	123720	124253	534	1
 137	-	124250	124918	669	1
 138	-	125174	126262	1089	1
 139	-	126341	127738	1398	1
 140	+	127854	128552	699	1
 141	+	128646	129878	1233	1
 142	-	129899	130855	957	1
 143	-	130879	132858	1980	1
 144	+	132977	135439	2463	1
 145	+	135666	136955	1290	1
 146	+	137024	138640	1617	1
 147	-	138656	141271	2616	1
 148	-	141343	142362	1020	1
 149	+	142497	143258	762	1
 150	+	143327	143659	333	1
 151	-	143660	144364	705	1
 152	-	144516	145145	630	1
 153	+	145347	146069	723	1
 154	-	146041	148632	2592	1
 155	+	148928	151330	2403	1
 156	+	151336	152022	687	1
 157	-	152037	152777	741	1
 158	-	152929	153519	591	1
 159	-	153652	154632	981	1
 160	-	154856	155758	903	1
 161	-	155843	156667	825	1
 162	+	156775	157593	819	1
 163	+	157643	158470	828	1
 164	+	158642	159454	813	1
 165	+	159504	160595	1092	1
 166	-	160626	161273	648	1
 167	+	161369	162748	1380	1
