GeneMark.hmm PROKARYOTIC (Version 3.4.4)
Date: Fri Feb 12 06:54:14 2016
Sequence file name: ../NC_000962.fna
Model file name: itr_9.rbs.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: gi|448814763|ref|NC_000962.3| Mycobacterium tuberculosis H37Rv, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class     RBS      RBS
    #                                         Length            position  score
    1        +           1        1524         1524        1       -4 122.1075
    2        +        2052        3260         1209        1      -13  75.2739
    3        +        3280        4437         1158        1      -70  54.0605
    4        +        4482        4997          516        1      120  21.5138
    5        +        5240        7267         2028        1      101 244.4324
    6        +        7302        9818         2517        1      124 354.6634
    7        +        9914       10828          915        1      -79  67.2498
    8        -       11874       12311          438        1       43  21.0845
    9        +       12468       13016          549        1      -96  53.3243
   10        -       13133       13492          360        1      -67  14.0355
   11        -       13714       13995          282        1      -74  23.7441
   12        +       14134       14877          744        1       45  58.9935
   13        +       14914       15612          699        1       51  44.1406
   14        -       15590       17470         1881        1       74 200.6163
   15        -       17467       18744         1278        1       65 109.2049
   16        -       18759       20234         1476        1       28 120.9506
   17        -       20231       21640         1410        1     -109 146.0233
   18        -       21637       23172         1536        1     -110 138.0575
   19        -       23270       23737          468        1      -62  28.1449
   20        -       23861       25444         1584        1      113  82.4890
   21        -       25913       26878          966        1       11  93.9681
   22        -       27023       27442          420        1       62  22.7510
   23        +       27595       28365          771        1      -63  57.5357
   24        +       28362       29207          846        1      -66  56.3267
   25        +       29245       29607          363        1       46  20.1600
   26        +       29740       31068         1329        1       34  89.3155
   27        +       31189       31506          318        1      -57  17.3288
   28        +       31514       31819          306        1       13  26.0015
   29        +       32057       33154         1098        1       36  51.6458
   30        +       33224       33553          330        1      -68  10.0048
   31        +       34295       36610         2316        1      -20 177.0197
   32        +       36607       36870          264        1      -12  23.2175
   33        +       36867       37262          396        1      -12  41.7248
   34        +       37259       38947         1689        1      120 145.0376
   35        -       39056       39829          774        1      -97  82.7494
   36        -       39877       41220         1344        1       18 142.3822
   37        +       41280       41912          633        1       58  62.0653
   38        -       42004       42351          348        1      121  18.4112
   39        -       42433       43365          933        1      117  79.8403
   40        +       43556       46471         2916        1       16 274.7118
   41        -       46581       47084          504        1       -7  31.7070
   42        -       47366       48100          735        1      -11  60.9715
   43        -       48233       49027          795        1     -107  67.7203
   44        -       49043       49939          897        1       36  89.8526
   45        -       50021       51124         1104        1      -63 168.2990
   46        -       51185       51727          543        1       27  60.5819
   47        -       51828       52574          747        1      104  69.5008
   48        +       52900       53244          345        1     -113  10.3389
   49        +       53237       55699         2463        1      -28 247.7030
   50        +       55696       57378         1683        1      125 175.1151
   51        +       57335       57973          639        1      -21  72.1121
   52        +       58192       58482          291        1       70  39.7611
   53        +       58586       59080          495        1      -48  48.5315
   54        +       59122       59376          255        1      -26  25.0744
   55        +       59409       59867          459        1        0  41.4109
   56        +       59896       60417          522        1      -29   1.9444
   57        +       60396       63020         2625        1      -37 231.2223
   58        +       63200       63892          693        1      -42  38.3455
   59        +       63909       64967         1059        1     -103  70.5574
   60        -       65012       65293          282        1       33   1.3416
   61        +       65681       66694         1014        1     -117  90.1302
   62        +       66923       68362         1440        1       96 143.3946
   63        +       68620       71559         2940        1        2 323.4793
   64        +       71589       71828          240        1     -105   8.2586
   65        +       71821       72222          402        1     -126  24.2352
