#
1	+	337	2799	2463	1
2	+	3734	5020	1287	1
3	+	8238	9191	954	1
4	+	12163	14079	1917	1
5	+	14168	15298	1131	1
6	+	17489	18655	1167	1
7	-	20815	21078	264	1
8	+	22391	25207	2817	1
9	+	29651	30799	1149	1
10	+	30817	34038	3222	1
11	-	37898	39115	1218	1
12	-	39244	40386	1143	1
13	+	49823	50302	480	1
14	-	50380	51222	843	1
15	-	59687	60346	660	1
16	-	60358	63264	2907	1
17	-	63429	65780	2352	1
18	-	65855	66550	696	1
19	-	66835	68337	1503	1
20	-	68348	70048	1701	1
21	+	70387	71265	879	1
22	-	78848	79453	606	1
23	-	79464	80864	1401	1
24	-	80867	81958	1092	1
25	-	81958	83529	1572	1
26	+	85630	87354	1725	1
27	+	90094	91035	942	1
28	+	93166	94653	1488	1
29	+	94650	96008	1359	1
30	+	97087	98403	1317	1
31	+	99644	100711	1068	1
32	+	100765	102240	1476	1
33	+	102233	103153	921	1
34	+	105305	106456	1152	1
35	+	106557	107474	918	1
36	+	108279	110984	2706	1
37	+	111044	111433	390	1
38	+	113444	114487	1044	1
39	+	123017	125680	2664	1
40	+	125695	127587	1893	1
41	+	127912	129336	1425	1
42	+	131615	134212	2598	1
43	-	134788	135582	795	1
44	-	135598	136464	867	1
45	-	138835	141225	2391	1
46	-	146314	146694	381	1
47	-	148807	149601	795	1
48	-	157253	157732	480	1
49	-	160149	160604	456	1
50	-	161501	162031	531	1
51	+	179237	180754	1518	1
52	-	185123	185947	825	1
53	-	188712	189506	795	1
54	+	189874	190599	726	1
55	+	190857	191708	852	1
56	+	191855	192580	726	1
57	+	192872	193429	558	1
58	+	194903	195664	762	1
59	+	200971	201996	1026	1
60	+	202101	202556	456	1
61	+	202560	203348	789	1
62	+	203348	204496	1149	1
63	+	204493	205089	597	1
64	+	208621	209580	960	1
65	+	209679	211820	2142	1
66	-	213678	213932	255	1
67	-	217057	218775	1719	1
68	-	235535	236002	468	1
69	-	254259	255716	1458	1
70	+	260388	261491	1104	1
71	+	261503	262756	1254	1
72	-	289301	290305	1005	1
73	-	327261	328733	1473	1
74	+	356171	357454	1284	1
75	+	358799	359458	660	1
76	+	359489	359959	471	1
