GeneMark.hmm PROKARYOTIC (Version 3.4.4)
Date: Sun Jan 24 19:41:29 2016
Sequence file name: /storage2/gena/GMS2/new/benchmark/Halobacterium_salinarum_R1_uid61571/GMS2_auto/../NC_010364.fna
Model file name: itr_9.rbs.notfirst.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: gi|169235049|ref|NC_010364.1| Halobacterium salinarum R1, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class     RBS      RBS
    #                                         Length            position  score
    1        +         248        1453         1206        1      -19  88.2581
    2        +        1450        2115          666        1      -99 110.2113
    3        +        2112        3254         1143        1       52 121.2681
    4        +        3322        5643         2322        1      -20 276.3082
    5        -        5646        7451         1806        1       40 323.6726
    6        -        7454        8641         1188        1      -52 164.2448
    7        -        8655        9863         1209        1     -109 187.2131
    8        +        9980       11413         1434        1      -15 165.3553
    9        -       11478       12734         1257        1      -48  49.6007
   10        -       13462       13812          351        1        0  23.0082
   11        -       13809       14201          393        1     -128  38.9393
   12        +       14484       14780          297        1     -116  25.7511
   13        +       14871       15131          261        1       16  13.6140
   14        +       15310       15408           99        1      -66   4.8784
   15        -       15419       16051          633        1      -68   9.1415
   16        +       16342       17706         1365        1      -53  61.8505
   17        +       18357       18902          546        1      -93   5.8048
   18        +       18895       19530          636        1      -59  23.1919
   19        -       19703       20128          426        1      -83   7.8024
   20        -       20219       20482          264        1       16   9.1009
   21        -       20533       21789         1257        1       42  59.7797
   22        -       22103       22300          198        1       45   2.0512
   23        +       23336       23890          555        1       25   3.8885
   24        +       26648       29008         2361        1       14 139.6668
   25        +       29046       29429          384        1      107   3.8300
   26        -       29476       29913          438        1      -19   5.1489
   27        -       29913       30197          285        1        2  14.3460
   28        -       30356       31144          789        1      -78  49.6905
   29        -       31241       31570          330        1       90  20.4171
   30        +       31841       32089          249        1       85  14.9078
   31        +       32104       32358          255        1       93   7.1097
   32        -       32558       32893          336        1     -121  18.2057
   33        -       32896       33225          330        1      -44  12.8933
   34        -       33185       33589          405        1       62  22.7233
   35        -       33613       33918          306        1     -122  29.2498
   36        -       34654       35934         1281        1      109  56.3545
   37        +       36157       36936          780        1       49  34.2606
   38        +       37369       37728          360        1      -18  21.8604
   39        +       37730       38986         1257        1       84  77.1514
   40        +       39215       40447         1233        1       34 117.1753
   41        -       40626       41918         1293        1      -51 139.9650
   42        +       42006       42734          729        1       15  82.3350
   43        +       42895       43674          780        1      127  30.8065
   44        +       43902       45164         1263        1      117  35.0290
   45        -       45260       45985          726        1      -77  29.0101
   46        -       46870       48036         1167        1      -83  87.3713
   47        -       48214       49518         1305        1      123  65.0751
   48        +       49605       50237          633        1      -66  19.9931
   49        -       50367       50987          621        1       52  24.6595
   50        +       51018       51266          249        1       64   7.3704
   51        -       51579       53036         1458        1       54  73.8696
   52        +       53584       54069          486        1       73  21.0350
   53        +       54207       55382         1176        1      -72  39.8416
   54        -       55711       56760         1050        1      -60  33.0015
   55        -       56808       58112         1305        1       10 112.9826
   56        -       58214       58648          435        1       35   5.6366
   57        -       58675       59748         1074        1      117  13.6600
   58        +       59842       61197         1356        1      -71  58.3381
   59        -       61624       62712         1089        1        4  62.5417
   60        -       62715       63701          987        1      -35  93.3109
   61        +       63942       64658          717        1      -73  52.6663
   62        -       64714       64908          195        1     -108   9.6136
   63        +       64896       65825          930        1      113  98.1406
   64        +       65925       66221          297        1      118  22.3123
   65        +       66218       66487          270        1      -95  13.4063
   66        +       66707       66847          141        1     -120   2.6876
   67        +       67069       67266          198        1      -12   3.2269
   68        +       67256       67549          294        1      -86  29.9506
   69        -       68072       68506          435        1      -93  45.8744
   70        -       68503       68793          291        1      -58  29.3744
   71        +       68923       69219          297        1       41  28.3995
   72        +       69341       69529          189        1      -49   6.9110
   73        +       69568       69795          228        1      -72   2.1131
   74        +       70664       71764         1101        1       -2 105.6238
   75        +       71836       72291          456        1     -112  33.7925
   76        +       72332       72763          432        1     -122  56.4692
   77        +       72928       73719          792        1      -40 150.7961
   78        -       73723       74559          837        1       75 156.4847
   79        +       74684       75757         1074        1      -75 218.5300
   80        -       75767       77662         1896        1      106 328.1770
   81        -       77659       78882         1224        1       42 212.1641
   82        -       78938       79675          738        1       71 145.9200
   83        -       79698       80612          915        1      -16 147.0833
   84        -       80677       81342          666        1      -51 122.1109
   85        -       81402       82343          942        1      -73 204.0271
   86        +       82467       83474         1008        1       23 223.5701
   87        +       83555       83941          387        1       90  70.6751
   88        -       83947       84804          858        1       82 150.1345
   89        -       84900       85409          510        1      -79  66.4113
   90        -       85632       85826          195        1       84  19.4134
   91        -       85942       86598          657        1       81 101.3659
   92        -       86655       87599          945        1       60 158.0818
   93        -       87749       88207          459        1      -97  57.0045
   94        +       88683       89339          657        1       93 109.4385
   95        +       89392       90696         1305        1       38 112.9826
   96        +       90807       91595          789        1      -85 139.1072
   97        +       91588       93015         1428        1      -74  54.5391
   98        +       93094       96069         2976        1     -102 495.8511
   99        +       96062       96787          726        1       51  54.4743
  100        +       98036       98404          369        1      -25  29.4328
  101        +       98469       99146          678        1     -103  95.5128
  102        +       99251      100033          783        1      -87 160.6113
  103        +      100104      100364          261        1       -3   7.1614
  104        -      100522      101346          825        1      -20  48.2057
  105        +      101365      101649          285        1      -20   3.5894
  106        -      101665      101940          276        1       63  20.3011
  107        -      101940      102323          384        1      -62  25.2410
  108        -      102494      102652          159        1        8   6.9154
  109        -      102652      102777          126        1     -122  10.7058
  110        +      103145      103636          492        1      -35  68.6128
  111        +      103704      105632         1929        1       14 408.2937
  112        +      105679      106422          744        1      -57 128.4636
  113        -      106434      106820          387        1       81  92.9804
  114        -      106864      107193          330        1      -60  51.2131
  115        +      107292      108059          768        1       14 143.7612
  116        +      108298      109194          897        1        0 162.4894
  117        +      109199      109462          264        1     -122  29.1647
  118        -      109465      110079          615        1       11  75.5818
  119        +      110400      111824         1425        1       52 330.2202
  120        +      111878      112330          453        1       -5  68.8640
  121        +      112327      113343         1017        1      -72 172.0779
  122        -      113322      114680         1359        1        0 250.7310
  123        +      115233      115445          213        1       23   8.8265
  124        +      115436      115780          345        1      -33  15.5474
  125        +      116617      116724          108        1      123   3.0153
  126        -      116944      117348          405        1      112  35.7066
  127        -      117498      117605          108        1      117  10.9908
  128        -      117819      118061          243        1       58   5.1211
  129        -      118092      118433          342        1      -81  17.1194
  130        +      118777      119214          438        1      -26  62.7854
  131        +      119680      119916          237        1      120  18.3912
  132        -      119921      120349          429        1       44  64.1751
  133        -      120416      120619          204        1       51   4.7828
  134        +      120764      123037         2274        1      -78 453.0152
  135        -      123052      123723          672        1       87 117.7024
  136        -      123720      124253          534        1      105  85.1409
  137        -      124250      124918          669        1        2 116.4917
  138        -      125174      126262         1089        1       66 232.3099
  139        -      126341      127738         1398        1        8 293.1386
  140        +      127854      128552          699        1       96 135.3624
  141        +      128646      129878         1233        1      123 249.3278
  142        -      129899      130855          957        1       50 201.6976
  143        -      130879      132858         1980        1        3 354.7147
  144        +      132977      135439         2463        1       99 277.3690
  145        +      135666      136955         1290        1      -24 141.6649
  146        +      137024      138640         1617        1       52 352.0692
  147        -      138656      141271         2616        1      -29 514.3411
  148        -      141343      142362         1020        1       38 195.2494
  149        +      142497      143258          762        1     -102 145.6937
  150        +      143327      143659          333        1      -39  69.7954
  151        -      143660      144364          705        1      -11 125.7652
  152        -      144516      145145          630        1        9 138.1595
  153        +      145347      146069          723        1      -79 123.9678
  154        -      146041      148632         2592        1      -90 499.7785
  155        +      148928      151330         2403        1      -74 444.5622
  156        +      151336      152022          687        1       29 127.6233
  157        -      152037      152777          741        1      -43 148.7684
  158        -      152929      153519          591        1      -69  89.3692
  159        -      153652      154632          981        1       20 154.3824
  160        -      154856      155758          903        1      119 183.9194
  161        -      155843      156667          825        1       12 114.7332
  162        +      156775      157593          819        1       90 164.5022
  163        +      157643      158470          828        1      -66 154.3597
  164        +      158642      159454          813        1      -94 167.6060
  165        +      159504      160595         1092        1        3 201.9327
  166        -      160626      161273          648        1        5 127.5756
  167        +      161369      162748         1380        1       76 254.8724
  168        +      162818      164257         1440        1       -9 257.5683
  169        +      164313      165275          963        1      -53 176.0957
  170        -      165314      166495         1182        1      108 177.6141
  171        -      166498      166656          159        1       14   3.7926
  172        -      166843      167361          519        1      -54  54.8301
  173        -      167956      168216          261        1       30  16.3667
  174        -      168346      169323          978        1      119 169.7116
  175        +      169527      170048          522        1       41  61.7737
  176        -      169883      170551          669        1       67  55.5008
  177        -      170548      170916          369        1      -81  34.6251
  178        -      170909      171586          678        1       79  55.4375
  179        -      171586      172089          504        1       69  52.0254
  180        -      172086      172808          723        1       20 107.6568
  181        -      172805      173668          864        1      107 142.4166
  182        -      173699      174637          939        1       63 133.1544
  183        -      174634      176778         2145        1     -101 397.6885
  184        +      176910      177878          969        1        6 143.0387
  185        +      177878      178450          573        1      -53  83.2532
  186        +      178450      179712         1263        1        7 197.3279
  187        +      179709      180203          495        1      -13  73.1539
  188        -      180200      181156          957        1      -78 166.7473
  189        +      181445      182527         1083        1      -72 180.1936
  190        -      182519      182881          363        1      108  71.4912
  191        +      182973      183524          552        1      -85 117.1830
  192        +      183531      185405         1875        1      -34 385.3973
  193        +      185448      186131          684        1       92  85.4311
  194        -      186189      186428          240        1       71  48.4689
  195        -      186435      186812          378        1      -60  71.4561
  196        -      186936      187193          258        1       69  32.6540
  197        -      187199      187333          135        1      -44   7.1805
  198        -      187342      187629          288        1      -10  28.8793
  199        +      187777      187995          219        1      112  34.3055
  200        -      188023      188745          723        1       86 123.8498
  201        -      188798      190102         1305        1      -97 249.4152
  202        -      190102      190440          339        1      -11  67.4761
  203        +      190524      191138          615        1       48 113.6327
  204        +      191172      191759          588        1      -75  91.8166
  205        +      191756      192664          909        1       -6 180.0948
  206        -      192656      193420          765        1     -104 142.6864
  207        -      193423      195855         2433        1       25 501.8589
  208        -      195937      196686          750        1       92 115.2037
  209        -      196726      197565          840        1      -54 131.2117
  210        -      197621      198331          711        1      -63 135.8805
  211        -      198433      199404          972        1       -4 122.0565
  212        +      199586      200185          600        1     -109 112.7729
  213        +      200178      200729          552        1      -28 124.3122
  214        -      200786      201136          351        1      -67  68.6543
  215        +      201248      201781          534        1       21 118.5959
  216        +      201883      201999          117        1     -112  15.3697
  217        +      202043      203158         1116        1       43 212.7722
  218        +      203214      204572         1359        1      -64 289.0334
  219        -      204589      205662         1074        1      102 191.8683
  220        +      205784      206215          432        1      -56  92.5724
  221        +      206215      207108          894        1      120 170.7967
  222        +      207129      208217         1089        1       14 239.0562
  223        +      208277      209479         1203        1     -121 206.8077
  224        +      209507      210601         1095        1       90 214.4346
  225        +      210629      211096          468        1      -67  66.9212
  226        +      211152      211757          606        1      -61 109.6418
  227        +      211796      213421         1626        1       74 303.5988
  228        +      213537      214340          804        1       22 145.7904
  229        -      214327      214497          171        1      -16  18.9864
  230        +      214614      215735         1122        1       69 233.9621
  231        -      215737      216171          435        1      119  88.8443
  232        -      216168      216326          159        1       15  12.7939
  233        +      216419      217246          828        1       86 138.0766
  234        +      217282      218976         1695        1      -81 323.6323
  235        +      219199      219588          390        1       44  26.6433
  236        +      219590      220744         1155        1      -68  83.0224
  237        -      220797      221225          429        1       55  75.9584
  238        -      221302      221964          663        1       22 120.2176
  239        -      222010      222792          783        1       85 111.2210
  240        -      222830      223099          270        1     -115  33.7092
  241        +      223284      223988          705        1       37 115.9920
  242        +      224041      224958          918        1       32 184.6739
  243        -      224955      225773          819        1       -9 137.6047
  244        -      225845      226471          627        1      -77 124.9565
  245        -      226465      227229          765        1      -86 157.6175
  246        -      227280      227813          534        1      -13  91.2518
  247        +      227990      230098         2109        1     -124 391.6680
  248        -      230154      230603          450        1      -42  57.6836
  249        +      230688      231443          756        1       21 139.3794
  250        +      231440      232732         1293        1        0 236.4243
  251        +      232729      233559          831        1       13 160.9663
  252        +      233584      234381          798        1      103 162.5373
  253        -      234378      234683          306        1      -54  36.5512
  254        +      234786      235949         1164        1       21 282.0202
  255        -      235956      236366          411        1       93  36.1931
  256        -      236414      237094          681        1       52 107.4631
  257        -      237155      238099          945        1       25 157.1980
  258        +      238405      239118          714        1       57 138.3688
  259        -      239120      240964         1845        1       82 366.6356
  260        +      241168      241410          243        1        3  40.3283
  261        -      241420      242031          612        1      125  96.9142
  262        -      242087      243265         1179        1       79 237.7338
  263        -      243305      243814          510        1      116  78.9976
  264        -      243847      244023          177        1       75  40.7044
  265        -      244061      245800         1740        1       55 358.7300
  266        -      245889      247958         2070        1     -100 420.2242
  267        -      248019      249086         1068        1       12 185.0570
  268        -      249112      250398         1287        1       43 223.0650
  269        -      250438      252696         2259        1       44 469.8829
  270        +      252830      253219          390        1     -111  79.3053
  271        -      253220      254125          906        1      -71 164.8194
  272        +      254400      255092          693        1      -75 130.0543
  273        +      255147      255767          621        1      -99  99.7828
  274        -      255742      257046         1305        1       32 112.9826
  275        +      257151      257414          264        1      117  51.7255
  276        +      257487      258188          702        1      -60 104.3973
  277        -      258193      259053          861        1      -11 158.8196
  278        -      259046      262618         3573        1      -18 755.2278
  279        -      262640      262924          285        1       31  51.8011
  280        +      263054      264541         1488        1      126 306.1494
  281        -      264587      264979          393        1       29  37.9307
  282        -      265038      265418          381        1      -39  39.7173
  283        +      265641      268130         2490        1     -101 477.9267
  284        +      268291      269559         1269        1       -5 245.1998
  285        +      269593      269811          219        1       16  19.6694
  286        +      269851      270621          771        1       19 113.8374
  287        -      270634      272517         1884        1     -105 383.0192
  288        -      272598      272879          282        1       -4  36.2612
  289        +      272970      273872          903        1       59 134.8940
  290        -      273911      274324          414        1      -91  77.4293
  291        +      274419      275420         1002        1      -22 129.2560
  292        +      275425      276219          795        1      -40 112.2510
  293        +      276278      277099          822        1       45 149.0661
  294        -      277115      278158         1044        1     -103 192.6086
  295        +      278248      278592          345        1      -32  76.2334
  296        +      278638      279153          516        1      104  83.8407
  297        +      279175      279657          483        1      122  77.4887
  298        -      279662      280417          756        1      104 111.0053
  299        +      280526      281686         1161        1      -68 226.2229
  300        +      281790      282131          342        1      -78  61.9492
  301        -      282141      282578          438        1      -35  88.9081
  302        -      282580      282753          174        1     -112  16.5892
  303        -      282817      284007         1191        1      115 184.8913
  304        -      284035      285396         1362        1      -32 207.2586
  305        -      285457      286413          957        1      -38 213.6573
  306        +      286491      287291          801        1       13 141.0793
  307        +      287318      287677          360        1       70  65.1342
  308        +      287692      289158         1467        1      -66 259.2198
  309        +      289155      289709          555        1      122  82.6591
  310        -      289913      290701          789        1     -105  49.6905
  311        +      290845      291702          858        1       20 178.6461
  312        +      291748      292218          471        1     -101  73.5899
  313        -      292215      292505          291        1      -88  35.6410
  314        +      292564      293553          990        1      -54 219.3301
  315        -      293554      294276          723        1     -109 108.9626
  316        -      294323      295471         1149        1       61 164.2305
  317        -      295545      296447          903        1       12 184.9815
  318        +      296708      297121          414        1       -9  82.1845
  319        +      297179      297976          798        1      -49 143.5083
  320        -      297978      298475          498        1      -12  87.5419
  321        -      298567      300492         1926        1      -38 324.2554
  322        -      300810      300962          153        1      -81  13.6530
  323        +      301084      302589         1506        1       14 289.4759
  324        +      302668      303198          531        1       67  91.4822
  325        +      303234      304223          990        1      117 209.0257
  326        +      304382      305440         1059        1      -13 201.4781
  327        -      305433      306401          969        1      -20 124.9228
  328        -      306483      307553         1071        1      112 122.8099
  329        -      307586      309382         1797        1     -108 338.0749
  330        +      309485      310552         1068        1      -26 199.2900
  331        -      310574      313021         2448        1      -54 504.8197
  332        -      313070      314686         1617        1       74 345.8601
  333        +      314856      316232         1377        1      -30 311.5514
  334        +      316297      316938          642        1      122 115.2679
  335        +      316975      317472          498        1       35  74.4880
  336        -      317473      317661          189        1      -19  27.1334
  337        +      317745      318224          480        1       37  86.1116
  338        -      318232      319575         1344        1      100 251.1811
  339        +      319692      320084          393        1      -61  87.4243
  340        +      320084      320800          717        1       73 137.2882
  341        -      320930      321244          315        1      -22  34.4794
  342        +      321356      322618         1263        1       62 270.7274
  343        -      322619      323389          771        1       74 159.2878
  344        +      323473      323958          486        1     -120  96.5132
  345        -      323965      324990         1026        1     -119 166.4786
  346        -      325093      325521          429        1      -95  78.6651
  347        +      325645      325980          336        1       -3  37.6129
  348        -      326075      326341          267        1      -47  49.1226
  349        -      326338      327903         1566        1      -24 237.5858
  350        +      328000      329280         1281        1       53 226.2763
  351        -      329291      330661         1371        1      -73 267.1470
  352        +      330767      331096          330        1        5  54.8997
  353        -      331099      332229         1131        1      -47 208.0967
  354        +      332289      332924          636        1      -14 137.1710
  355        -      332947      334185         1239        1      117 236.2446
  356        -      334223      335137          915        1       48 167.2230
  357        -      335186      336394         1209        1       22 234.8048
  358        +      336482      337552         1071        1       82 207.6322
  359        +      337549      338187          639        1     -124 124.4254
  360        +      338228      338632          405        1       44  94.8847
  361        -      338644      339324          681        1     -122 164.7127
  362        -      339330      340175          846        1      -36 147.2793
  363        -      340182      341882         1701        1     -123 256.5191
  364        -      341884      342843          960        1       71 158.4051
  365        -      342899      343933         1035        1     -118 161.7817
  366        +      344160      345164         1005        1       87 195.3655
  367        +      345237      346208          972        1     -122 203.9734
  368        +      346535      347845         1311        1     -103 286.9206
  369        -      347882      348166          285        1       26  53.6049
  370        -      348168      348785          618        1      126 105.2519
  371        -      348778      349668          891        1      -17 181.9869
  372        -      349665      350516          852        1       69 141.4496
  373        -      350665      351492          828        1       19 172.5172
  374        -      351556      352788         1233        1       33 218.1474
  375        -      352982      354664         1683        1      115 221.6793
  376        -      354636      355394          759        1       77 121.5865
  377        -      355553      355741          189        1      -88  33.8773
  378        -      355750      356166          417        1       77  63.4712
  379        +      356266      356424          159        1     -101   3.1851
  380        -      356581      357450          870        1       86 164.0076
  381        -      357447      359195         1749        1       36 366.6616
  382        +      359444      360088          645        1        8 134.1726
  383        +      360103      360681          579        1     -101  81.1460
  384        -      360686      361075          390        1      127  79.7210
  385        -      361114      362064          951        1       89 151.8555
  386        -      362118      364223         2106        1      -57 384.9896
  387        -      364216      364785          570        1       -9 113.8775
  388        -      364854      366038         1185        1      -28 134.1445
  389        +      366130      368100         1971        1       35 390.3946
  390        -      368097      368477          381        1      107  51.9306
  391        -      368510      369085          576        1      -55 103.5455
  392        -      369085      369660          576        1        8  93.1376
  393        -      369806      370510          705        1       90 108.8085
  394        -      370579      371754         1176        1       50 196.2185
  395        -      371830      373719         1890        1      -35 428.3512
  396        -      373876      374571          696        1       56  91.3590
  397        -      374611      375264          654        1      -20 149.5761
  398        -      375340      375723          384        1      -69  53.4510
  399        -      375776      376282          507        1      -29  98.3008
  400        -      376279      377190          912        1      108 145.3317
  401        +      377286      378032          747        1      -66 132.7576
  402        -      378043      379212         1170        1       85 190.2224
  403        +      379446      380567         1122        1       44 239.1300
  404        +      380632      381420          789        1      -53 163.9626
  405        -      381417      382598         1182        1     -113 242.2587
  406        +      382709      383809         1101        1      -26 202.2776
  407        -      383806      384090          285        1      103  24.3396
  408        -      384138      384983          846        1      -31 168.4157
  409        +      385079      385276          198        1       37  39.8949
  410        +      385326      385463          138        1       37  16.6009
  411        -      385507      386727         1221        1      -76 226.4774
  412        +      386934      387164          231        1      111  32.3669
  413        +      387222      388385         1164        1     -119 247.1464
  414        +      388382      391033         2652        1       18 585.9351
  415        +      391085      391336          252        1      -96   4.0705
  416        -      391324      391752          429        1       80  48.0801
  417        -      391778      392059          282        1     -119  51.1997
  418        -      392100      392294          195        1      114  17.1850
