GeneMark.hmm PROKARYOTIC (Version 3.4.4)
Date: Fri Feb 12 06:45:23 2016
Sequence file name: ../NC_000913.fna
Model file name: itr_9.rbs.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: gi|556503834|ref|NC_000913.3| Escherichia coli str. K-12 substr. MG1655, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class     RBS      RBS
    #                                         Length            position  score
    1        +         337        2799         2463        1       59 347.8234
    2        +        2801        3733          933        1      -29 123.5137
    3        +        3734        5020         1287        1     -115 206.3179
    4        +        5234        5530          297        1      100   8.6449
    5        -        5683        6459          777        1       71 111.3858
    6        -        6529        7959         1431        1       36 160.2522
    7        +        8238        9191          954        1       35 153.7070
    8        +        9306        9893          588        1       73  88.0965
    9        -        9928       10494          567        1        8 108.9258
   10        -       10643       11356          714        1      107  82.2235
   11        -       11382       11786          405        1       22  41.3042
   12        +       12163       14079         1917        1      120 313.5478
   13        +       14168       15298         1131        1       82 149.4402
   14        +       15445       16557         1113        1       74  68.2084
   15        -       16751       16903          153        1       19   2.5600
   16        +       17489       18655         1167        1       65 151.6483
   17        +       18721       19620          900        1       24  82.2245
   18        -       19811       20314          504        1      102  14.1814
   19        -       20233       20508          276        1       41  12.5937
   20        -       20815       21078          264        1      101  14.7128
   21        +       21407       22348          942        1     -108 125.5582
   22        +       22391       25207         2817        1       97 465.0307
   23        +       25207       25701          495        1      101  66.1972
   24        +       25826       26275          450        1      -46  73.0368
   25        +       26277       27227          951        1     -103 153.3676
   26        +       27293       28207          915        1     -112 124.9439
   27        +       28374       29195          822        1      -56 125.6049
   28        +       29624       30799         1176        1      -86 169.9273
   29        +       30817       34038         3222        1       87 620.3326
   30        +       34300       34695          396        1      -19  19.5409
   31        -       34781       35371          591        1       61  52.2892
   32        -       35377       36162          786        1       73 149.6102
   33        -       36271       37824         1554        1      -46 196.9060
   34        -       37898       39115         1218        1      -32 204.4207
   35        -       39244       40386         1143        1      -49 172.1037
   36        -       40417       41931         1515        1      -38 203.5016
   37        +       42340       43173          834        1       92 138.3695
   38        +       43188       44129          942        1      -87 171.9736
   39        +       44180       45466         1287        1     -120 211.7304
   40        +       45463       45750          288        1     -123  40.2787
   41        +       45807       47138         1332        1      -32 203.0164
   42        +       47303       47776          474        1      -64  54.5217
   43        +       47769       49631         1863        1     -122 367.7111
   44        +       49712       50302          591        1       40  80.0579
   45        -       50380       51222          843        1       31 120.8138
   46        -       51229       51606          378        1     -100  29.9268
   47        -       51609       52430          822        1      -30 115.8684
   48        -       52427       53416          990        1      -71 136.2256
   49        -       53416       54702         1287        1      -68 221.7520
   50        -       54755       57109         2355        1       33 279.3165
   51        +       57364       58179          816        1        9 136.7888
   52        +       58516       59124          609        1     -114  15.2339
   53        +       59121       59279          159        1      -35   3.1479
   54        -       59687       60340          654        1      -67  94.2808
   55        -       60358       63192         2835        1      -25 558.0889
   56        -       63429       65780         2352        1        4 350.8555
   57        -       65855       66550          696        1        2 106.7693
   58        -       66835       68337         1503        1       -1 265.3033
   59        -       68348       70048         1701        1      -90 265.7467
   60        +       70387       71265          879        1      -20  98.3603
   61        +       71351       72115          765        1      -87 120.0132
   62        -       72229       72927          699        1      -14 105.3922
   63        -       72911       74521         1611        1       32 273.3994
   64        -       74497       75480          984        1      -28 156.6622
   65        -       75644       77299         1656        1        3 229.1974
   66        +       77388       77519          132        1       62   3.2991
   67        +       77621       78799         1179        1       41 126.2073
   68        -       78848       79453          606        1      107 107.8085
   69        -       79464       80864         1401        1      -18 237.3360
   70        -       80867       81958         1092        1       49 183.2025
   71        -       81958       83529         1572        1       95 252.9183
   72        +       84350       85312          963        1      111  76.3196
   73        +       85630       87354         1725        1      114 194.2517
   74        +       87327       87848          522        1       18  58.7976
   75        +       88028       89032         1005        1      -48 151.1521
   76        +       89634       90092          459        1       16  29.1828
   77        +       90097       91035          939        1      -21 145.1387
   78        +       91032       91397          366        1     -118  24.9903
   79        +       91413       93179         1767        1        9 247.1804
   80        +       93166       94653         1488        1      -28 242.7259
   81        +       94650       96008         1359        1      -84 219.6679
   82        +       96002       97084         1083        1       -7 180.1959
   83        +       97087       98403         1317        1       47 243.2167
   84        +       98403       99647         1245        1       84 208.7296
   85        +       99644      100711         1068        1       45 151.3548
   86        +      100765      102240         1476        1     -114 245.0687
   87        +      102233      103153          921        1       78 113.5522
   88        +      103155      103985          831        1      -26 101.2857
   89        +      103982      105244         1263        1       37 143.5743
   90        +      105305      106456         1152        1       79 185.5532
   91        +      106557      107474          918        1       50  93.1272
   92        +      107552      108217          666        1       19  57.3314
   93        +      108279      110984         2706        1      -22 479.4786
   94        +      111044      111433          390        1      -75  52.7401
   95        -      111649      111846          198        1      -13  13.7666
   96        -      111856      112557          702        1      -72  93.8229
   97        -      112599      113219          621        1       73  74.4306
   98        +      113444      114487         1044        1       16 136.5561
   99        -      114522      115724         1203        1       25 157.6768
  100        -      115714      117099         1386        1      120 152.3996
  101        -      117109      117549          441        1       52  54.4822
  102        -      117752      118645          894        1     -126 120.4969
  103        +      118733      119284          552        1      -66  52.4561
  104        +      119281      120135          855        1      -27 119.5528
  105        -      120178      121548         1371        1      -41 225.5270
  106        +      122092      122856          765        1      -35  93.5078
  107        +      123017      125680         2664        1      123 456.3428
  108        +      125695      127587         1893        1      -11 328.4563
  109        +      127912      129336         1425        1      -99 243.5117
  110        -      129407      131248         1842        1      -71 169.7245
  111        +      131615      134212         2598        1       18 452.4543
  112        +      134388      134750          363        1      -26  43.6101
  113        -      134788      135582          795        1      -79 111.7475
  114        -      135598      136464          867        1       34 126.7808
  115        -      136570      136896          327        1      -46  33.5613
  116        +      137083      138633         1551        1      109 268.1084
  117        -      138835      141225         2391        1      -71 413.5233
  118        +      141431      141967          537        1      105  93.0261
  119        -      142008      142670          663        1       87  75.9245
  120        +      142779      143705          927        1      -88 140.7971
  121        +      143702      144472          771        1       68 119.4161
  122        +      144577      145017          441        1      -78  29.0382
  123        +      145081      146310         1230        1      -82 138.0785
  124        -      146314      146694          381        1       20  46.4574
  125        +      146968      147870          903        1       12  69.7358
  126        -      147944      148795          852        1       74 146.1994
  127        -      148807      149601          795        1      105 132.4088
  128        -      149715      150872         1158        1       99  50.3500
  129        -      151003      151599          597        1       65  19.4284
  130        -      151626      152228          603        1      -78  34.3898
  131        -      152243      152812          570        1       -7  19.2550
  132        -      152829      155426         2598        1       45 163.0539
  133        -      155461      156201          741        1       53  42.9569
  134        -      156299      156883          585        1      -33  51.7685
  135        -      157253      157732          480        1       49  46.8274
  136        -      157729      159093         1365        1     -122 245.9703
  137        -      159186      160082          897        1       89  89.2600
  138        -      160149      160604          456        1      107  68.7194
  139        -      160782      161486          705        1      -36  52.5831
  140        -      161501      162244          744        1      -45  55.9251
  141        +      162114      164534         2421        1       54 386.7353
  142        +      164730      167264         2535        1      115 424.3731
  143        +      167484      169727         2244        1       47 317.9715
  144        +      169778      170575          798        1       38 129.9533
  145        +      170575      171465          891        1       62 142.3030
  146        +      171462      173444         1983        1      -64 367.8678
